dtime,BTC_Trading_Volume_Kraken_Euro,Kraken_BTC_Volatility,Kraken_Bid-Ask_Spread,Hash-Rate,Difficulty,Miners_Revenue,Cost_Per_Transaction,Output_Value_Per_Day,Estimated_Transaction_Volume_USD,Market_Cap,Net_Value_to_Transactions,Gtrend_bitcoin(Worldwide),Gtrend_buy_bitcoin(Worldwide),Gtrend_bitcoin_ban(Worldwide)
2022-02-28,2309.342135,161.358245,0.003595556,214099222.7,2.80E+13,38215480.8,141.0592165,4322021.623,6046602126,8.33E+11,137.834722,22.1,7.7,1.47
2022-02-27,1626.125287,121.5374052,0.003467925,189074638.3,2.80E+13,33197207.98,157.2105472,2944240.974,1844114531,7.92E+11,429.3386965,18.02,6.5,6.51
2022-02-26,1241.001959,83.14383414,0.003078725,173781836.6,2.80E+13,33937773.78,141.445699,3127279.399,2407133266,7.17E+11,297.9452106,17.68,7.9,9.87
2022-02-25,1835.144508,121.9495944,0.003309796,186294128.9,2.80E+13,33004416.88,126.7742832,4323350.108,5331044431,7.43E+11,139.4617189,23.12,8.3,5.67
2022-02-24,5198.564768,189.9726864,0.007494083,183513619.5,2.80E+13,30647564.87,117.4983509,4283223.897,6195394917,7.34E+11,118.4099795,34,9.8,21
2022-02-23,1960.231483,94.71062769,0.002590835,208538204,2.80E+13,36162771.65,143.9171093,3597031.736,3017861449,7.28E+11,241.2204085,17.68,7.2,18.48
2022-02-22,1809.195689,116.8733425,0.003709514,211318713.4,2.80E+13,36863634.74,140.9117257,4756839.958,3543912810,7.13E+11,201.2414333,21.08,7,4.2
2022-02-21,2379.403285,158.3839743,0.005012241,171001327.3,2.80E+13,30026576.04,126.4798782,4987413.643,4035714192,7.20E+11,178.4191465,18.7,7.8,2.94
2022-02-20,1242.219835,80.44111982,0.003352531,200196675.8,2.80E+13,35174070.58,175.4011548,3411589.09,1468226673,7.24E+11,493.1878848,17.34,8.4,8.19
2022-02-19,686.9035033,57.4560958,0.001907961,207147949.3,2.80E+13,37609546.8,170.4311211,3223183.095,1623004424,7.26E+11,447.3410485,15.3,8.5,5.04
2022-02-18,1592.239874,104.9546716,0.003751546,186294128.9,2.80E+13,34237766.89,131.1515462,3922024.418,4086558917,7.59E+11,185.627359,17.68,7.8,1.47
2022-02-17,2149.022728,105.2429977,0.004564066,213256529.5,2.73E+13,42514659.43,166.3503556,3664305.817,3727008286,7.60E+11,203.9696331,17,8,7.14
2022-02-16,1616.352457,71.15905717,0.001359066,206979740.5,2.67E+13,43917652.27,161.7873159,3913108.632,3802128927,7.70E+11,202.5438397,15.98,7.5,4.41
2022-02-15,1264.165509,80.60461472,0.001415959,232188811.5,2.67E+13,48533029.99,177.3718949,3425575.577,5996275894,8.40E+11,140.0423304,17.34,8.4,5.88
2022-02-14,988.9804994,84.54200319,0.002024774,202999360.9,2.67E+13,40840022.97,164.9488795,3957897.445,3738130873,8.34E+11,223.1680719,17,8.1,11.34
2022-02-13,566.7097551,66.0256855,0.001347749,209633327,2.67E+13,42217994.28,202.0222048,3288531.582,1353922240,7.98E+11,589.3001019,14.62,7.6,5.04
2022-02-12,1422.246121,82.12672418,0.002667992,248110330,2.67E+13,50024191,219.2226225,3186538.528,2253577642,8.01E+11,355.4960167,15.98,7,3.36
2022-02-11,1869.963021,125.665902,0.004148994,188404635.6,2.67E+13,39575264.29,152.7601413,3919197.427,6311800631,7.95E+11,126.0157583,17.68,8.1,7.56
2022-02-10,2996.937656,141.9121346,0.003945749,195038601.7,2.67E+13,41628004.66,159.6086263,5358161.688,5445221749,8.05E+11,147.8383047,19.72,7.6,0
2022-02-09,2195.129692,107.275997,0.002037161,185751049.2,2.67E+13,39687367.62,149.1479237,5388473.661,3696031098,8.47E+11,229.2015946,20.4,9.2,2.94
2022-02-08,3483.788289,132.2001293,0.004059814,204326154.1,2.67E+13,43425193.84,153.8362129,11957138.88,5859754860,8.34E+11,142.3878755,20.74,8.4,7.14
2022-02-07,2154.44085,113.2446889,0.003894191,180443876.4,2.67E+13,37290363.05,142.3111621,4719355.743,5383799347,8.14E+11,151.1323626,22.1,10,5.88
2022-02-06,803.1521605,68.22583828,0.00302989,206979740.5,2.67E+13,40981670.3,186.9635865,3046303.609,1779702571,8.31E+11,467.0895225,17.34,9.3,4.83
2022-02-05,1131.338698,74.67362933,0.003321727,157888391.8,2.67E+13,31486890.21,121.7373948,3530466.148,3223821586,7.87E+11,244.2016959,21.42,8,5.04
2022-02-04,3798.588571,125.185674,0.005433413,172445464.5,2.67E+13,31845046.92,128.435413,4479684.049,4038621761,7.87E+11,194.7883054,20.4,9,4.41
