dtime,BTC_Open,BTC_High,BTC_Low,BTC_Close,BTC_Volume,BTC_Traded,ETH_Close,ETH_Volume,XRP_Close,XRP_Volume
2022-02-28,,,,,,,,,,
2022-02-27,,,,,,,,,,
2022-02-26,,,,,,,,,,
2022-02-25,,,,,,,,,,
2022-02-24,,,,,,,,,,
2022-02-23,,,,,,,,,,
2022-02-22,,,,,,,,,,
2022-02-21,,,,,,,,,,
2022-02-20,,,,,,,,,,
2022-02-19,,,,,,,,,,
2022-02-18,,,,,,,,,,
2022-02-17,,,,,,,,,,
2022-02-16,,,,,,,,,,
2022-02-15,,,,,,,,,,
2022-02-14,,,,,,,,,,
2022-02-13,,,,,,,,,,
2022-02-12,,,,,,,,,,
2022-02-11,,,,,,,,,,
2022-02-10,,,,,,,,,,
2022-02-09,,,,,,,,,,
2022-02-08,,,,,,,,,,
2022-02-07,,,,,,,,,,
2022-02-06,,,,,,,,,,
2022-02-05,,,,,,,,,,
2022-02-04,,,,,,,,,,
2022-02-03,,,,,,,,,,
2022-02-02,,,,,,,,,,
2022-02-01,,,,,,,,,,
2022-01-31,,,,,,,,,,
2022-01-30,,,,,,,,,,
2022-01-29,,,,,,,,,,
2022-01-28,,,,,,,,,,
2022-01-27,,,,,,,,,,
2022-01-26,,,,,,,,,,
2022-01-25,,,,,,,,,,
2022-01-24,,,,,,,,,,
2022-01-23,,,,,,,,,,
2022-01-22,,,,,,,,,,
2022-01-21,,,,,,,,,,
2022-01-20,,,,,,,,,,
2022-01-19,,,,,,,,,,
2022-01-18,,,,,,,,,,
2022-01-17,,,,,,,,,,
2022-01-16,,,,,,,,,,
2022-01-15,,,,,,,,,,
2022-01-14,,,,,,,,,,
2022-01-13,,,,,,,,,,
2022-01-12,,,,,,,,,,
2022-01-11,,,,,,,,,,
2022-01-10,,,,,,,,,,
2022-01-09,,,,,,,,,,
2022-01-08,,,,,,,,,,
2022-01-07,,,,,,,,,,
2022-01-06,,,,,,,,,,
2022-01-05,,,,,,,,,,
2022-01-04,,,,,,,,,,
2022-01-03,,,,,,,,,,
2022-01-02,,,,,,,,,,
2022-01-01,,,,,,,,,,
2021-12-31,47143.8,48591.6,45530.3,46150,3113.017717,28633,3676.9,24922.75471,0.82918,5796701.341
2021-12-30,46464.5,47907.4,45930.1,47143.8,1928.684122,22090,3710,27145.88142,0.83877,7639436.915
2021-12-29,47549.8,48123.7,46120,46473.2,2346.5654,26014,3628.29,37528.73981,0.81704,6931146.579
2021-12-28,50687.5,50693.5,47305.5,47548.1,3521.509196,35217,3792.09,37346.8701,0.85179,7047699.776
2021-12-27,50797.4,52111,50480.2,50687.4,1629.375323,21968,4038.76,16398.82629,0.9277,3934464.248
2021-12-26,50436.1,51242,49427.9,50797.3,1079.304041,15511,4064.33,10601.99683,0.92018,3800170.02
2021-12-25,50834.2,51154.2,50209.2,50436,1222.79597,15356,4098,6812.446486,0.92627,5040501.559
2021-12-24,50818.8,51844.4,50456,50834.3,2363.110599,28783,4050.88,16931.73145,0.9115,15744448.61
2021-12-23,48624.9,51391.2,48042.3,50818.8,3079.33948,32242,4111.86,25519.60907,0.99353,17084236.8
2021-12-22,48925.9,49599.8,48491,48624.9,2036.642175,24570,3980.44,19545.92365,0.95459,15102583.07
2021-12-21,46907.3,49321.1,46676.5,48925.9,3879.222732,29852,4018.2,27552.64214,0.94713,17444891.93
2021-12-20,46687.8,47549.8,45600,46898.1,2989.017287,30600,3941.82,30218.05713,0.88002,14893880.25
2021-12-19,46858,48289,46484.8,46688.4,2067.319741,22744,3924.37,20352.15508,0.83338,2422083.464
2021-12-18,46166.6,47333.6,45520.2,46864.3,1868.9875,24363,3961.35,23546.20133,0.82679,5151043.432
2021-12-17,47639.9,48001.9,45500,46168.3,3794.875796,38927,3877.5,36714.1663,0.79698,20032306.91
2021-12-16,48881.8,49465.6,47560,47631,3345.273837,31997,3959.04,30802.84994,0.80485,3325998.482
2021-12-15,48399.2,49512.5,46632,48881.3,4250.481708,34511,4019.8,58162.25182,0.82675,10077074.7
2021-12-14,46732.2,48690,46313.7,48399.2,3830.824064,35772,3861.96,46526.81488,0.81159,6345539.063
2021-12-13,50098.8,50219.8,45759,46732.2,4915.423073,41085,3783.38,50157.67372,0.78227,14648896.75
2021-12-12,49406,50788.4,48697.8,50113.2,2022.363982,22650,4133.54,25941.88066,0.84044,6572576.099
2021-12-11,47173.9,49500,46800,49367.2,2068.416771,23586,4088.8,30223.12662,0.83737,5437552.208
2021-12-10,47576.4,50114.2,46888.8,47218.3,3323.541756,34264,3901.9,47555.08761,0.79873,17962632.06
2021-12-09,50525.1,50819.5,47298.4,47581.6,2691.499811,30424,4106.45,43557.89166,0.85918,20481890.16
2021-12-08,50650.1,51202.5,48579.3,50515.1,2997.496479,27149,4439.83,37356.70436,0.8625,15216202.42
2021-12-07,50544.8,51955,50100,50650.1,2712.749884,32481,4308.35,38408.54896,0.81699,10471858.8
2021-12-06,49444,50957.6,47210,50564.3,4070.392924,39613,4354.92,65161.75989,0.82851,15589550.4
2021-12-05,49245,49750,47832.2,49443.3,3742.510709,35056,4200.98,34461.60179,0.8054,16709599.12
2021-12-04,53675,53893.4,40150.1,49255.1,8936.375665,93273,4124.3,83922.05942,0.84801,44774830.44
2021-12-03,56528.2,57688.9,51752.6,53678.6,4366.265086,42103,4223.49,49194.36357,0.92282,7008694.126
2021-12-02,57237.2,57410.2,55848.2,56526.4,3226.834834,33357,4514.99,40237.30348,0.97298,3708605.523
2021-12-01,57007.4,59090.7,56520,57237.9,4211.555033,41458,4588.4,51634.05576,0.99115,4336599.394
2021-11-30,57830.2,59230,55932.6,56980.7,3880.882299,46528,4630.31,81724.04374,0.99958,10402531.2
2021-11-29,57300,58890,56755.1,57830.2,2979.131136,38569,4448,23961.71953,0.99105,6839474.389
2021-11-28,54757.5,57485.7,53300,57300,2157.942393,29933,4298.81,32273.94372,0.96972,10195665.23
2021-11-27,53776.5,55314.1,53658.6,54784.9,2957.234589,25472,4099.95,24277.19192,0.94569,7645435.257
2021-11-26,58955.3,59193.8,53571,53789,6087.348254,54924,4043.06,62187.85753,0.9395,46274275.35
2021-11-25,57170.4,59400,57053,58932.6,2779.689314,30817,4525.47,23016.91148,1.04347,5180926.441
2021-11-24,57574,57738.9,55909,57203.3,2504.624524,31075,4271.01,19917.16464,1.03396,5282029.93
2021-11-23,56290.2,57850,55362.7,57571.4,3805.193718,35787,4341.69,42871.85362,1.06662,5167463.857
2021-11-22,58660.3,59411.8,55633.6,56295.5,3918.657504,38762,4088.39,39685.59308,1.0381,8592059.621
2021-11-21,59744.2,60050,58532.8,58646.2,1374.084308,21166,4263.51,22198.5769,1.06102,11273098.32
2021-11-20,58107.2,59879,57435.2,59744.2,1745.521347,23413,4414.54,26016.90995,1.09703,4282795.804
2021-11-19,56910.8,58384.5,55674,58099.6,2241.919285,33346,4297.67,32026.43686,1.09065,24553246.67
2021-11-18,60368.6,60964.4,56526.2,56921.7,4581.79459,48290,3998.42,42266.90848,1.04207,19240955.54
2021-11-17,60137.2,60847,58400,60367.8,3122.33471,32352,4292.75,25700.92559,1.09664,5634226.681
2021-11-16,63615.8,63615.8,58630,60137.2,5540.523984,58354,4211.75,57219.26291,1.08885,22574664.11
2021-11-15,65495,66349.6,63423.1,63615.8,2184.393918,30333,4564.19,32109.68128,1.17054,9642655.486
2021-11-14,64394.5,65495,63636,65495,1479.872729,20821,4627.21,15344.06619,1.18769,2177061.399
2021-11-13,64151.3,64982.5,63415,64393.1,1391.47442,18319,4650.47,12171.71112,1.19108,7847343.471
2021-11-12,64825.1,65483.2,62300.5,64153,3153.295396,35616,4669.33,51145.21508,1.19052,14958925.89
2021-11-11,64969,65611.8,64108.2,64825.4,1606.791778,24439,4722.92,23637.05873,1.21563,10569388.94
2021-11-10,66950.1,68991,62700.1,64969,6353.720597,61082,4634.94,61024.11361,1.19282,33620238.48
2021-11-09,67550.8,68495,66316,66950,3128.972218,36642,4732.07,37602.86393,1.25646,13345329.49
2021-11-08,63319.6,67777.7,63319.6,67559.8,3863.09584,46043,4811.61,29017.58792,1.28249,17544550.37
2021-11-07,61535.4,63317.8,61388,63317.8,1554.001969,23475,4617.14,16708.59968,1.21942,14342622.27
2021-11-06,61007.4,61602.1,60129.8,61536.3,1337.984984,20253,4522,21918.56958,1.1523,7125381.429
2021-11-05,61448.9,62631.9,60804.4,61006.2,1431.430668,23089,4482.93,18735.25337,1.15991,4847959.722
2021-11-04,62938,63115,60644.2,61449,1875.762795,26603,4537.51,24092.58004,1.202,11761901.38
2021-11-03,63279.8,63550.4,60810.3,62942.9,2575.677531,31653,4607.01,32179.95317,1.21118,20204133.52
2021-11-02,60954.5,64327,60665.9,63279.7,2748.172393,37462,4588.54,38236.5273,1.13652,8165267.945
